,Text
196,"Big mall with lots of generic American and international stores ie Gap, Old Navy, Zara, Sears (really? Sears?!), H&M. LululemonConvenient locaiton; Dundas subway is right there, connected to mall. Good if you're looking for a mall with everything. Otherwise, doesn't really have a lot of character."
197,"Big ass mall in a busy ass area. Tons of shops big and small and a shiny and large cafeteria. They always seem to be renovating. Lots and lots of people come here, from tourists to locals to students. There are tons of weirdos as well, especially outside near the entrances. It's just busy, like all of the time. Especially in the summer weekends. It is easily accessible by TTC subway. I'm not sure why you'd go out of your way to come here unless you really need something you think they'll have."
198,"The main shopping mall of Toronto is chock full of shopping options. Some of my favorites were the Apple store, Best Buy and Sony Style. It also host The Gap,Skechers, Starbucks, Williams-Sonoma,Zara and hundreds of other stores. Definitely check it out when you need to empty your wallet on some  Canadian shopping."
199,"Nothing.. Absolutely Nothing compared to the 'malls' over here in the UK, going here is like a damn day trip. There was 25 of us at the start of the day, 14 by lunchtime and 7 got out. You do the maths.Was a laugh, had some good food, and got a nice discount on some trainers. Just the size can be a little off-putting especially with the young ones."
200,"I have developed a slight mall aversion due to my years and years of working retail. Most times I would rather do pretty much anything in the world than go to a mall. Real talk. But I don't mind this mall at all.You can find pretty much anything you could want here in terms of fashion, housewares, gifts, etc. The stores range from moderately priced to upscale. I can see how this would be a big draw to tourist peeps, given the DT location.Parking is redonk expensive and also cars are frequently broken into there (my mom's has been a few times) so I recommend you take the TTC if you can.It is AWESOME that the subway is right underneath all of the madness, so I can make a quick escape as soon as I get the ""no more mall for me"" feeling!"
201,"I've spent a ridiculous amount of time in the Eaton Centre. In fact, during this visit alone, I've swung by two days out of three. It's not because I'm a shopaholic, but rather because I just love being in the Eaton Centre.I love how spacious it is, I love the variety of stores, I love the multiple levels and I love sitting by the fountain and people watching.The only strike that the Eaton Centre has against it in my books is that things are always more expensive at the Eaton Centre than they are anywhere else. Even if it's the same store and the same product, you will pay more for it just because you are buying it in the Eaton Centre. That's not cool."
202,"Eaton Centre is the tourist mall located in the heart of Downtown right at Yonge & Dundas. Don't really know what to say it's just a mall. There's an Apple Store, a food court with an A&W. It's a pretty big mall. It has all of the chain stores you would expect. Decent mall for somebody coming from outside of town but as a local it isn't anything special."
203,"massive shopping centre near dundas in toronto, well worth a visit. I stayed at the comfort suites round the corner, and went to the eaton centre just about every day, and I still didnt see it all Toronto is an amazing city, and raton is a great way to shop when the weather outside is not so good toronto rocks oh and the hot dog seller outside the main entrance is the best in canada"
204,I have been going to the eaton centre since I was a child. They have some great stores there. The one thing I hate about this mall is the layout.
205,"For an American, this mall is stupendous! Being a New Yorker, i dislike malls a lot because in the US, they tend to be extremely sterile and strictly suburban in character. Of course, as most things are done better in other countries, this mall is much better than most American malls. There is definitely a fun, urban vibe that pervades here, and i love the stores that i can not find at home like Jack Jones. The H&M here also seemed to carry slightly different stock and more scarves which i loved, and purchased! PS- from what i read this is Toronto's number 1 attraction. Sad but true in a big city that has a lot more than a mall to offer, but nevertheless an interesting fact! Shopahoics and fasionistas must visit here!"
206,"Hmm... How should I put this...? --Eh. I don't think I can really be fair about this review because I've been blessed with living less than 1 mile away from Valley Fair Shopping Mall + Santana Row...The best part about this mall was the shooting water display in the middle of the mall. I think I spend 20 mins there! Hahaha...Other than that, the stores are okay. I guess you can find what you are looking for since they have something for everyone. I'm not really feeling the structure of the mall. It's just 1 straight line with a few weird stairways to confuse you on how to get from 1 floor to the next.I think I left in less than 1 hr."
207,"The nicest urban mall I ever visited, the Eaton Centre is downtown Toronto's foremost shopping mall experience. Shoppers congregate daily to shop at the hundreds of stores that make up the mall's tenants. With Sears, Indigo Books, and H&M being the largest stores at the mall, there's always something for someone here. With a large food court and many kiosks and booths throughout the complex, the mall is connected to both Queen and Dundas Street subway stations on the TTC's subway line. A pedestrian tunnel connects the store to The Bay store located on Queen Street. If you're looking for high-end shopping (Louis Vuitton, Cartier, Holt Renfrew) then this is not the place to shop as Bloor Street West should be your shopping destination."
208,Forgot to mention. You can get off at the Dundas station and there is an exit that takes you right into the mall.
209,"Great place to shop if you happen to be downtown They have a wide variety of stores, you can almost find all the stores here.  It gets super crowded on weekends."
210,"Fossil store had the nicest retail associates ever. I was not pressured into buying anything yet they let me browse, and they explained to me what's good or bad about some items in the store. Next time I'm buying something, I'd definitely pay Fossil a visit."
211,"Toronto Eaton Centre is definitely worth the trip. The mall is HUGE and be prepared for a lot of walking. It gets really busy on the weekends and you should come early to avoid big crowds and pushy people. The overall layout is fairly easy to navigate and there isn't much bad I can say about this place. Overall, really nice mall to visit and I'm sure you'll have a blast while your there."
212,"Even at the Mall of America, the West Edmonton Mall, and this modernly designed and spacious Eaton Centre, the shopping experience soon becomes similar to any other big mall. Or in the immortal words of the Talking Heads - ""Same as it ever was!""The Eaton Centre does offer some positve exceptions, even considering the national demise of its namesake several years ago.  The Hudson Bay store on one end is a fine department store that wears its age and history well.  And when you consider all the other activities that Toronto has to offer within walking and transit distance, the Eaton Centre is just another interesting and fun choice within this vibrant metropolitan area.  Most interesting is Trinity Square which is literally just outside the door near Sears and on the opposite side from Yonge.  After purchasing your ""graven images"" in the mall, spiritual peace and maybe redemption awaits you just a few steps away."
213,"Pas mal comme centre commercial, on y trouve Ã  peu prÃ¨s toutes les grandes enseignes de vÃªtements et produits culturels.C'est un peu comme ChÃ¢telet les Halles sans le labyrinthe de couloirs voire plus les 4 temps Ã  La DÃ©fense.Le plus c'est le food court que vous trouverez Ã  peu prÃ¨s dans tous les centres commerciaux de ce type. On y sert tout type de cuisine dans un modÃ¨le ""restauration rapide""."
214,"Me, personally. I hate malls; that includes the Eaton Center as well. They are nothing more than a capitalist mirage and it's packed with people like teenage girls with daddy's credit card and loners."
215,"It's busy. Everyone says that but I have to say that it's not exactly a good mall for anyone who has a stroller, not to mention a double stroller.  They are currently renovating it so there is a whole section where the Sears was being built. I would suggest only going there to the sake of experiencing a tourist trap."
216,"It's an A-OK mall. You've got all the special stores like Apple, Sephora, Indigo, Club Monaco, but nothing special. There's one giant water fountain on the lower level, but that's about it. There was a shooting here a few years ago that made Toronto headlines, so not exactly the safest mall on earth. Go with an idea of what you want to buy and don't wander. Washrooms are despicable and the food court is even worst with MSG-laced food. Get in and get out. If you're looking for a mall to stroll in, go to the Yorkdale Mall, it's definitely a few stars higher than this downtown zoo."
217,"Average mall with okay quality shops. The mall looks awesome. The food court is awesome for a quick bite but that's about it.  If u want to shop, I wouldn't go here"
218,"Like most Torontonians, I have a complicated relationship with TEC. I like to shop local* whenever I can, but there are certain things you have to go to a mall for, like Apple or Microsoft products, see a Bell person in the flesh or the classic: it's shit outside and I need an outfit for such and such an occasion right. Now.  I have to give TEC credit for their sparkly holiday decorations and the no-need-to-see-daylight abilities to get to the Bay, the TTC and The Path at large. I also give them credit for (mostly) sticking to the old English way a mall or department store is assembled, by putting the fanciest shops on top, and tiering down from there. Lest we forget the Urban Eatery. Sometimes mall Chinese, NYF or A&W are the only things that will satisfy you, and they are all housed in the brand new, environmentally friendly Urban Eatery. Who doesn't love root beer in a giant glass mug? Only fools. *Shameless Plug: Have you taken the pledge yet? 'Tis the season... http://www.yelp.ca/events/toronto-yelp-shops-local-2"
219,"It's a crazy large mall. Great for shopping and hanging out with friends (at their food court). However, on a busy weekend, it can get really insane. They have multiple level parking but it gets full in no time. If you are lucky, you will find some space on the roof in open (Level 5 I think). It is terribly crowded inside as well. I met a couple of friends there on a weekend and it was pouring with people like ants. The food court is large but then sometimes you run out of space there as well. Overall, a great place to hang out and shopping. Try non-crowded times like weekdays or morning-early afternoons on weekends."
220,"Toronto Eaton Centre is the hallmark of Shopping and Offices in Toronto, and is located quite literally in the Centre of the city, just next to City Hall in fact.The selection of shops for clothing, food, electronics, sundries, etc. etc. is simply fabulous.  The mall is bright and cheerful and offers something for everyone.There is an art display of ""the Birds"" that is quite famous for people taking photos at the south side of the building (by Queen St) and in the Centre of the mall is a great Fountain that shoots water up in to the air up to the 3rd storey.The building is easily accessed by either the Dundas or Queen St subway stations, and spans the distance between them."
221,"I used to work at this Mall and live 2 streets down, Some of the same ladies I used to work with and surrounding stores, theyre still there so kindof feels like a home away from home type of deal. Its a large mall with MANY MANY stores and options especially since they opened the new urban eatery downstairs. Its like taste of fast food world haha. They got Thai Express, Jimmy the Greek, Some italian ones, Subway and many others. New Victoria Secret store is my absolute fave, Everytime I walk in there, i spend no less then $100, no girl can have enough bra,thongs or glitterly body lotions and oh Sephora aswell. The Apple Store is also great, tons of smart nerdy yet good looking boys are there to help you as quick as possible, its always packed so except pushing and a lot of excuse me's. All major cell phone companys are at the mall aswell, Wind, Bell, Fido, Telus and Rogers, they have stands in the middle of the mall and their actual store located nearby or around. Shoe Got Busted randomly at the mall? Have no fear, theres an amazing shoe repair guy located near the Queen Station exit beside Nino D'Arena and Body Shop, He will fix your shoe in less then half an hour. This man sees me like 4-7 times a year haha.As usual, tons of clothing stores, Zara, Mendocino, Club Monaco, Lacoste, Le Chateau, Michael Kors, Guess, Bebe,,,etc and lods of Hair Salons and some spas for nails and styling.The Bay is also right across from the mall, obsessed with that store, if the Mac makeup store store is too full at the mall, go across to the Mac boutique at the bay for more informative help without feeling rushed."
222,It was almost like a ghost town in the mall today.  I thought for sure with it being a long weekend I would be fighting the crowds but no.  The only store that was even remotely crazy was Old Navy because they had a big sale on.There seems to be a lot of renos happening right now.  H&M has a chunk of their store closed off.  RW&Co is closed for a remodel.  There are also a few others.
223,"I was wondering: Where the heck is everyone on a Saturday afternoon in Downtown Toronto?  Well they were all at the mall!  They have everything in here.  It is not just one Gap or Forever 21, they have more than one. They are quite far away from one another too.  This place is super big and the ceiling is magnificent.  It is also connected to the Saks across the street.  They have something for everyone and tourist should just walk through and look at the beautiful architecture if you are not shopping."
224,"The mall is at the heart of downtown Toronto and is always busy all year round. They have everything ranging from pharmacies, to a high end food court that uses real plates and cutlery (although I wonder how many forks get stolen every day), and retail stores (of course). There are office buildings above as well so you'll see a mix of shoppers and 9-5 business people in the mall during the weekdays.The good:It's always clean and there's a good security presence since a shooting that took place here a few years back. There have been tons of renovation to improve the look of the mall and a few still ongoing. Tons of selection to choose from.The bad:Homeless / drunk people frequent the mall (my guess is to window shop). Parking is available but is paid parking (downtown of course). Can get crowded at times.Overall the Eaton Centre is a mall I visit almost every day as I work and live within walking distance to it. It's a great place to get everything that you need."
225,"It's a big mall with stores ranging from your $ brands to your $$$$ brands. I love the giant Bay along the Queen st. end and the new Nordstrom is pretty nice. There's tons to eat and walk around here at this mall so you can definitely kill some time (and calories) walking around here. The stores are quite a decent size so you're getting quite a selection at every store you visit. I like that I can pick up almost anything here. It's indoors and connects the Queen and Dundas subway lines so you can literally take the subway to the other side of the mall... though why would you...hahaBathrooms are cleaned pretty often and the Urban eatery, though almost always busy, has an abundance of seating. Well maintained mall :)It's a pretty busy mall and usually opened for holidays too! Because of it's large size though, it makes it easy to walk through without really having to worry about the crowds. I would be careful though because there's security incidents here quite often. I use to go to school nearby so I go through the Eatons on a daily basis. Sometimes you have some violent out bursts from random people coming into the mall (or ones that seem to just hang out here all day...), and though there's usually security stationed everywhere, I'd just be more alert."
226,"There are only five reasons to ever, ever go here, and even those are stretching it. Malls in general are despicable places and this one tops the list with an unfathomable amount of size 00 clones traipsing aimlessly through the mall waving around daddy's credit card and drifting in and out of Bench/Hollister/A&F/Aerie/Le Chateau giggling and gossiping. Every store in this mall can be found in a more tolerable (outdoor) setting that doesn't set you back $20 in parking - H&M, Sephora, Banana Republic, MAC, etc. The worst part about this sterile, uninspired environment is those insipid, pushy salespeople that line the centre aisles of the mall shilling their horrible wares - you know the ones: the fake hairpieces, shitty/gypsy hair straighteners and flame-adorned clothing.Reasons to go here (there are five): * Mrs. Field's soft pretzels (sadly, one of the only soft pretzels to be found in Toronto. At least they're good)* Blue Marine & Co.: Soia & Kyo brand winter coats* Carlton Cards: $0.25 helium balloons* Jean Machine* As a winter shortcut to walk between Dundas & Queen (it's always open to pedestrians)"
227,"What's a trip to Toronto without shopping?Pretty much all the major stores you could need are found here, and it is close to restaurants downtown as well.It can get very busy and crowded.Make sure to wear comfortable shoes, as you will be walking a lot around the area!"
228,"As far as malls in Canada go, this one is top notch. It has a lot of selection in one place and a lot of great and unique places to eat. There is a good mix of high end stores (Ted Baker, Michael Kors, Coach) to inexpensive stores (Zara, H&M, Hollister).The Good:1. Selection. There really is something for everyone here. Eaton Centre boasts a lot of great stores.2. Food. There are lots of places to eat and the places to sit are unique and quite comfortable.The Bad:1. Busy. This place is always super busy, especially on weekends. It's a hub for annoying tourists who don't understand universal escalator protocol.2. Layout. The layout is not the best, especially now that Sears is gone and you can't stroll through there to get to Dundas street (you need to go down a level or two then go back up).Recommendation: visit the mall on off hours and during the week. Your head will thank you!"
229,"First off, let me start off saying that I LOVE shopping. I will go out of my way to visit a mall to find good shopping. The mall still has some construction going on (way less though compared to during the summer) and can get extremely busy at times. The store selection is good, but the sales are nothing too fantastic. Its a good mall, but there is nothing really too special about it. However, visitors beware, during peak times (i.e. on weekends or mid-summer) there are a TON of tourists...just FYI."
230,"I learned something very important while in Toronto....There are a lot of malls. There has to be at least one mall every 100 feet.  It's crazy.  And the craziest of them all is the Eaton Centre.  Honestly, yes, it's massive, yes, it has hundreds of stores, but in the end, it's just a mall, and I can't justify giving a mall more than 3 stars.  There is a nice assortment of stores to fit everyone's taste.  And I assume in the winter one doesn't want to have to trapeze all over town just to go shopping, so the Eaton Centre is perfect.  Definitely something to check out if you are visiting Toronto"
231,"I stayed in the One King West Hotel and through the hotel there is an underground passageway that leads into the underground historical district. Through that district, I was able to navigate my way to the Eaton Centre. I later found out that it would have been SO much easier to have just gone from the street and follow Yonge street all the way down but that's neither here nor there. I really liked this mall. There was everything I needed in a big shopping mall like this. I found really really good deals but then again, it might just be that the US Dollar was so strong and maybe that may have had an influence on my views but nonetheless, I liked the deals here. I suggest not going to the upper floors as my experience was that they are retailers who deal with the more financially lucky out of us all.. unless of course you're looking for that kind of thing. What I liked most was all the Holiday decorations they had up. The giant tree and those huge deer/elk, they made the place look really magical."
232,I live two blocks from the mall so it's easily within walking distance.  It's a good size mall with a variety stores for everyone.  You won't be disappointed.
233,"One of the busiest malls in Toronto, but for good reason: great variety of stores (both high and low end), parking, accessible by public transit, and great food court that offers lots of variety."
234,"Huge huge mall! Almost as big as Yorkdale..You can find almost all major clothing retailers in this mall. The best part is that it's usually open during the holidays as well.That being said, it is almost always busy."
235,"Eaton Centre is one of the largest malls in Toronto where its considered to be a ""travel must go"" since it's open 365 days a year..This mall has almost everything and anything you are looking for. European Brands, Canadian Brands..you name it..it's most likely in this mall...(don't quote me on it tho)Weekends and holiday season is very packed..cuz its open when other places aren't...parking is expensive if you must drive here...it's at a TTC stop, I wouldn't drive here...public transit isn't that bad (sometimes) especially when you're downtown...people pay soo much to live here because of convenience...This is a huge mall to walk in, one day is really not enough if you shop at every availible store in this mall...so of the stores really just carry the same items...ie. Aritzia and TNA? seriously? Is it necessary to have both stores here? Hollister and A&F? same corporation...just different labels..you get the idea..."
236,I am terrified of heights. My boss and I traveled to Toronto for a business conference and were wanting something to do in the evening. This is what we chose to do. The elevator ride to the top was quick and the views from the top were stunning. This is for sure a must do/see for anyone visiting the city.
237,"The Eaton Centre is a nice mall.  Nice and bright, and in the downtown core.  Sometimes it's a little overwhelming, but it's a good place to stop if you need something."
238,"Sure it's the flagship mall of downtown Toronto and while I do walk through it or use it to kill some time often I am not overly impressed by anything it has to offer, their renovations didn't really seem to do much and the only thing great about it is the revamped food court. But it has a few stores that have 2 outlets in the same mall, most of the shops can also be found in a 10minute walk down queen street and all I see this is it being a very touristy spot that has little to offer for locals. Unless of course you're looking for a sears or apple store.But it's big and pretty to walk around thanks to the long open roof letting all the sun in."
239,"So much shopping. Some unique stores and some typical mall stores. The interesting thing about it is the path, which I can't wait to explore more of. It seems like it goes everywhere. Also people here seemed to be friendly and helpful."
240,I only go during weekdays or weeknights as it gets very crowded easily. They do offer all the shops I need in one spot and easy access to get to with TTC.
241,"Three floors of shoppes. THREE FLOORS of them. That is what this place is. If you like shopping at major retailers, this is one place to do it. The indoor mall is usually filled to the brim with people. To my recollection I can't think of one particularly great store that stood out for me. They have the usual, like Foot Locker, Forever 21, H&M, Sears, etc. At the time I was just enthralled at the prospect of having 3 floors of shoppes to stroll through. Now, looking back at it, most of those shoppes are ones I can drive to closer to home than making a trip cross-country for.  If you are in Toronto, you should visit this place, just to say you were there. If you are thinking of going to Toronto, this place should NOT tip the scales for a reason to go there. Oh, and FYI- I'm going to be SUPER nice and tell you that Yonge is pronounced Young. Americans look silly as hell when they say- ""yawn-g?""."
242,You can find everything in this mall but it's always so packed with people it tires me out. They need more and bigger/cleaner washrooms here.
243,"It almost hurts to give a mall 2 stars... especially one that's at the heart of a major city. But c'mon Toronto, I'm sick of paying for parking... I'm a patron. Why isn't that good enough?!!The website makes this place seem very sophisticated, upscale, bourgie... but it's not. I think that was the disappointing part. It was so typical.Yes, you can find a ton of stores here. It's a one-stop-shopping-spot as all malls are, but it's not much more than that.Sigh. I prefer Yorkdale."
244,"I walked through the Eaton Centre recently and will be walking through here soon but there seems to have been a lot of construction to really ramp the place up.  There is nothing spectacular about the mall, I mean there is no crazy niche market the mall is going after and there is no theme park inside.It's a mall with a bunch of popular stores in the heart of Toronto that is easily accessible via subway, streetcar, bus or walking.  If you dare to drive into this area there is parking in and around the mall.The mall is pretty popular with anyone who is in this area which is usually people working, tourists and most likely kids and teens.The mall has undergone a bit of construction and they have a lot of connections to the Best Buy, the subway and a new food court.If you haven't finished your Christmas shopping you might not want to drop in unless you're willing to brave out the large crowds!"
245,It's a mall.  A great place to escape the winter cold of Toronto.  I use it a lot to cut through instead of walking inside either to get to the financial district or simply to get to Dundas/Bay area
246,"The shopaholic in me jumped for joy when I found out I was staying so close to Toronto's biggest mall.  And I jumped even higher when I found out the currency exchange difference from USD to CAD (It's not a big difference, but for someone who loves to shop, it was definitely a plus!).The mall itself is HUGE.  3 floors filling up 3 street blocks, 330+ stores and restaurants, and several entrances/exits coming from Yonge, Dundas, Queen, and James.  There's a wide selection of different stores, from stores that you can find in the US (Aldo, Juicy Couture, Stuart Weitzman, ZARA, Coach, Victoria's Secret, etc.) in addition to Canadian stores (Dynamite, Chateau, etc.).  Basically, there are all of the chain mall stores that you would expect.  Although we didn't eat here, there was also a wide selection of places to eat in the Urban Eatery food court."
247,HUGE MALL! This shopping centre has everything you would need in one location. Very crowded and full of people. Not recommended if you like quite shopping.
248,It's a great mall! I enjoyed visiting Toronto and going shooing at this mall! I was spending time with my friend here. Great store selection I loved the fashion they have here!
249,"A huge mall smack dab in the middle of downtown Toronto ain't too bad. Almost every major American and Canadian retailer you can think of has a place in here and independent shops as well. It is hard to miss this mall and not go in there because it is huge! If you're visiting from the States, I wouldn't recommend buying anything unless you really have to because every brand name item in there is at least 2 times the price of what you'll normally see, even after sale. The inside is quite nice, especially the glass ceiling and the Canadian flag hanging makes it look more symbolic. I recommend looking from the north side of the 3rd floor of the mall, which is where all the higher-end stores (Juicy Couture, Stuart Weitzman, Williams-Sonoma, Sears [if that's considered HE]). Stop by once if you're visiting, don't stop by if you're from around. The layout of the mall is really nice but unless you like indoor shopping, you can find these stores all over."
250,"The other reviewers have pretty much summed up this mall but one thing they didn't mention and that drives me crazy is that there is nowhere to sit! My feet are tired after several hours of shopping and now I'm sitting on the floor. They need benches, badly."
251,It's like Rideau in Ottawa. You have to pay for parking if you are downtown.
252,I didn't feel like a tourist as I admired the ceiling.  I like being here on a rainy day.  It is very clean and looks great.  The design is good.  We went here for the food court.
